Edad;Sexo;Periodo;Total
De 20 a 24 años;Mujeres;2016;41,96
De 20 a 24 años;Mujeres;2015;43,93
De 20 a 24 años;Mujeres;2014;49,58
De 20 a 24 años;Mujeres;2013;50,74
De 20 a 24 años;Mujeres;2012;47,37
De 20 a 24 años;Mujeres;2011;40,2
De 20 a 24 años;Mujeres;2010;34,86
De 20 a 24 años;Mujeres;2009;31,79
De 20 a 24 años;Mujeres;2008;20,53
De 20 a 24 años;Mujeres;2007;18,05
De 20 a 24 años;Mujeres;2006;17,65
De 25 a 29 años;Ambos sexos;2021;21,35
De 25 a 29 años;Ambos sexos;2020;22,91
De 25 a 29 años;Ambos sexos;2019;18,98
De 25 a 29 años;Ambos sexos;2018;20,36
De 25 a 29 años;Ambos sexos;2017;22,97
De 25 a 29 años;Ambos sexos;2016;25,6
De 25 a 29 años;Ambos sexos;2015;28,51
De 25 a 29 años;Ambos sexos;2014;30,33
De 25 a 29 años;Ambos sexos;2013;33,27
De 25 a 29 años;Ambos sexos;2012;31,49
De 25 a 29 años;Ambos sexos;2011;26,31
De 25 a 29 años;Ambos sexos;2010;24,69
De 25 a 29 años;Ambos sexos;2009;21,69
De 25 a 29 años;Ambos sexos;2008;13,33
De 25 a 29 años;Ambos sexos;2007;8,96
De 25 a 29 años;Ambos sexos;2006;10,07
De 25 a 29 años;Hombres;2021;21,22
De 25 a 29 años;Hombres;2020;22,16
De 25 a 29 años;Hombres;2019;18,87
De 25 a 29 años;Hombres;2018;19,42
De 25 a 29 años;Hombres;2017;21,94
De 25 a 29 años;Hombres;2016;24,74
De 25 a 29 años;Hombres;2015;28,9
De 25 a 29 años;Hombres;2014;30,62
De 25 a 29 años;Hombres;2013;34,48
De 25 a 29 años;Hombres;2012;33,46
De 25 a 29 años;Hombres;2011;27,21
De 25 a 29 años;Hombres;2010;25,95
De 25 a 29 años;Hombres;2009;23,32
De 25 a 29 años;Hombres;2008;13,36
De 25 a 29 años;Hombres;2007;7,47
De 25 a 29 años;Hombres;2006;7,95
De 25 a 29 años;Mujeres;2021;21,48
De 25 a 29 años;Mujeres;2020;23,69
De 25 a 29 años;Mujeres;2019;19,1
De 25 a 29 años;Mujeres;2018;21,37
De 25 a 29 años;Mujeres;2017;24,04
De 25 a 29 años;Mujeres;2016;26,5
De 25 a 29 años;Mujeres;2015;28,1
De 25 a 29 años;Mujeres;2014;30,02
De 25 a 29 años;Mujeres;2013;31,99
De 25 a 29 años;Mujeres;2012;29,37
De 25 a 29 años;Mujeres;2011;25,32
De 25 a 29 años;Mujeres;2010;23,33
De 25 a 29 años;Mujeres;2009;19,87
De 25 a 29 años;Mujeres;2008;13,31
De 25 a 29 años;Mujeres;2007;10,71
De 25 a 29 años;Mujeres;2006;12,57
De 30 a 34 años;Ambos sexos;2021;15,12
De 30 a 34 años;Ambos sexos;2020;16,8
De 30 a 34 años;Ambos sexos;2019;13,91
De 30 a 34 años;Ambos sexos;2018;15,19
De 30 a 34 años;Ambos sexos;2017;16,65
De 30 a 34 años;Ambos sexos;2016;19,24
De 30 a 34 años;Ambos sexos;2015;21,67
De 30 a 34 años;Ambos sexos;2014;24,04
De 30 a 34 años;Ambos sexos;2013;25,89
De 30 a 34 años;Ambos sexos;2012;24,66
De 30 a 34 años;Ambos sexos;2011;21,29
De 30 a 34 años;Ambos sexos;2010;19,22
De 30 a 34 años;Ambos sexos;2009;17,11
De 30 a 34 años;Ambos sexos;2008;10,28
De 30 a 34 años;Ambos sexos;2007;7,38
De 30 a 34 años;Ambos sexos;2006;7,82
De 30 a 34 años;Hombres;2021;14,22
De 30 a 34 años;Hombres;2020;15,08
De 30 a 34 años;Hombres;2019;11,66
De 30 a 34 años;Hombres;2018;13,33
De 30 a 34 años;Hombres;2017;15,37
De 30 a 34 años;Hombres;2016;17,67
De 30 a 34 años;Hombres;2015;20,26
De 30 a 34 años;Hombres;2014;23,19
De 30 a 34 años;Hombres;2013;25,61
De 30 a 34 años;Hombres;2012;25,25
De 30 a 34 años;Hombres;2011;21,2
De 30 a 34 años;Hombres;2010;19,25
De 30 a 34 años;Hombres;2009;17,1
De 30 a 34 años;Hombres;2008;8,97
De 30 a 34 años;Hombres;2007;5,65
De 30 a 34 años;Hombres;2006;5,77
De 30 a 34 años;Mujeres;2021;16,09
De 30 a 34 años;Mujeres;2020;18,67
De 30 a 34 años;Mujeres;2019;16,34
De 30 a 34 años;Mujeres;2018;17,22
De 30 a 34 años;Mujeres;2017;18,05
De 30 a 34 años;Mujeres;2016;20,96
De 30 a 34 años;Mujeres;2015;23,2
De 30 a 34 años;Mujeres;2014;24,97
De 30 a 34 años;Mujeres;2013;26,19
De 30 a 34 años;Mujeres;2012;23,98
De 30 a 34 años;Mujeres;2011;21,38
De 30 a 34 años;Mujeres;2010;19,2
De 30 a 34 años;Mujeres;2009;17,12
De 30 a 34 años;Mujeres;2008;11,91
De 30 a 34 años;Mujeres;2007;9,57
De 30 a 34 años;Mujeres;2006;10,45
De 35 a 39 años;Ambos sexos;2021;12,9
De 35 a 39 años;Ambos sexos;2020;14,12
De 35 a 39 años;Ambos sexos;2019;11,49
De 35 a 39 años;Ambos sexos;2018;12,84
De 35 a 39 años;Ambos sexos;2017;14,38
De 35 a 39 años;Ambos sexos;2016;16,59
De 35 a 39 años;Ambos sexos;2015;18,75
De 35 a 39 años;Ambos sexos;2014;21,1
De 35 a 39 años;Ambos sexos;2013;22,7
De 35 a 39 años;Ambos sexos;2012;21,62
De 35 a 39 años;Ambos sexos;2011;18,83
De 35 a 39 años;Ambos sexos;2010;18,13
De 35 a 39 años;Ambos sexos;2009;16,28
De 35 a 39 años;Ambos sexos;2008;9,59
De 35 a 39 años;Ambos sexos;2007;6,97
De 35 a 39 años;Ambos sexos;2006;7,11
De 35 a 39 años;Hombres;2021;10,82
De 35 a 39 años;Hombres;2020;11,79
De 35 a 39 años;Hombres;2019;9,68
De 35 a 39 años;Hombres;2018;11,1
De 35 a 39 años;Hombres;2017;12,17
De 35 a 39 años;Hombres;2016;14,46
De 35 a 39 años;Hombres;2015;17,07
De 35 a 39 años;Hombres;2014;19,78
De 35 a 39 años;Hombres;2013;21,3
De 35 a 39 años;Hombres;2012;20,69
De 35 a 39 años;Hombres;2011;17,9
De 35 a 39 años;Hombres;2010;16,73
De 35 a 39 años;Hombres;2009;16
De 35 a 39 años;Hombres;2008;8,19
De 35 a 39 años;Hombres;2007;5,15
